Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_D16_UNORM,55,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_D16_UNORM,UNorm,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_UNORM,56,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16_UNORM,UNorm,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_UINT,57,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16_UINT,UInt,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_SNORM,58,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16_SNORM,SNorm,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_SINT,59,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16_SINT,SInt,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8_TYPELESS,60,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,N,N,N,8,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8_UNORM,61,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8_UNORM,UNorm,FALSE,R,N,N,N,8,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8_UINT,62,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8_UINT,UInt,FALSE,R,N,N,N,8,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8_SNORM,63,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8_SNORM,SNorm,FALSE,R,N,N,N,8,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8_SINT,64,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8_SINT,SInt,FALSE,R,N,N,N,8,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_A8_UNORM,65,DXGI_FORMAT_R8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_A8_UNORM,UNorm,FALSE,N,N,N,A,0,0,0,8,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R1_UNORM,66,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R1_UNORM,UNorm,FALSE,R,N,N,N,1,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R9G9B9E5_SHAREDEXP,67,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R9G9B9E5_SHAREDEXP,SharedExp,FALSE,R,G,B,E,9,9,9,5,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8_B8G8_UNORM,68,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8_B8G8_UNORM,UNorm,FALSE,R,G,B,G2,8,8,8,8,PixelPair,Hardware,Void,Void,Void,Void
DXGI_FORMAT_G8R8_G8B8_UNORM,69,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_G8R8_G8B8_UNORM,UNorm,FALSE,G,R,G2,B,8,8,8,8,PixelPair,Hardware,Void,Void,Void,Void
